Array Probe	Category Component
EIF4EBP1_28851	1978
EIF4G1_27165	1981
EIF5_2112	1983
ELANE_13129	1991
ELAVL1_2115	1994
EMP1_18941	2012
CTTN_1650	2017
EMX2_20535	2018
ENDOG_23724	2021
ENDOG_28379	2021
ENG_13441	2022
ENO2_13140	2026
EP300_2167	2033
EPB41L2_2175	2037
EPB42_17721	2038
DMTN_23208	2039
EPHA3_2188	2042
EPHB2_2194	2048
EPHX1_17800	2052
EPHX2_18456	2053
EPRS_2200	2058
EPS15_14377	2060
NR2F6_4684	2063
ERBB2_2205	2064
ERBB3_2206	2065
EREG_21427	2069
FBL_2360	2091
ESR1_12234	2099
ESR2_25513	2100
ESR2_27179	2100
ESR2_27183	2100
ESR2_28304	2100
ETF1_25817	2107
ETFA_2244	2108
ETFB_2245	2109
ETS1_2248	2113
ETS1_27185	2113
ETV1_2251	2115
ETV1_27186	2115
EVI2B_24023	2124
EXT1_2278	2131
EXTL1_23218	2134
EZH2_2282	2146
F2_2286	2147
F2R_10901	2149
F3_21670	2152
F5_24874	2153
F13A1_17806	2162
FABP4_21799	2167
FABP1_11582	2168
ACSL1_75	2180
FAH_2303	2184
PTK2B_5584	2185
FASN_11197	2194
FAT1_2356	2195
FBN1_2363	2200
FCER1G_11058	2207
FCGR1A_15846	2209
FCGR1B_26488	2210
FCGR2B_25215	2213
FCGR3A_13772	2214
FCGR3B_22716	2214
FCGR3A_13772	2215
FCGR3B_22716	2215
FDFT1_2382	2222
FEN1_2387	2237
FGB_2397	2244
FGF2_2405	2247
FGF7_13194	2252
FGF7_2409	2252
FGF8_28239	2253
FGFR2_2417	2263
FGFR4_2419	2264
FGG_23945	2266
FGR_26336	2268
FHL2_2423	2274
FIGF_28363	2277
FKBP1A_21107	2280
FKBP1A_27226	2280
FKBP4_2433	2288
FKBP5_19156	2289
FOXM1_2479	2305
FOXO3_2481	2309
FLNA_25912	2316
FMO1_13664	2326
FMO3_14602	2328
FMO5_11213	2330
FN1_13666	2335
FN1_2459	2335
FN1_27231	2335
FOLH1_21200	2346
FOS_2461	2353
FOSB_28257	2354
FPGS_27241	2356
FPR1_13192	2357
FSHB_28997	2488
NR5A1_22265	2516
FUT1_2519	2523
FUT4_20944	2526
FYB_28231	2533
FYN_2527	2534
IFI6_25609	2537
G6PD_25228	2539
SLC37A4_6478	2542
GAGE1_2574	2543
GAGE12J_2577	2543
GAGE2A_20694	2543
GAGE2D_22568	2543
GAGE4_2578	2543
GAA_2549	2548
GABBR1_2553	2550
GABPB1_2555	2553
GABRA2_23101	2555
GABRB3_2561	2562
GAD1_2566	2571
GAGE1_2574	2574
GAGE12J_2577	2574
