Category ID	Category Name	Category Component
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	941
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	25816
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	57018
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	2526
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	9034
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	80176
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	8848
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	9334
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	150094
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	23529
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	4780
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	2354
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	5187
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	10725
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	490
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	3593
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	3572
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	9120
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	19
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	3280
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	604
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	8660
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	6515
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	1052
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	51561
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	4088
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	6890
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	9242
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	64135
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	3601
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	79155
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	602
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	24145
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	24147
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	1906
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	10209
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	650
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	1846
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	10611
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	9945
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	10365
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	3371
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	5271
M5890	HALLMARK_TNFA_SIGNALING_VIA_NFKB	4084
M5891	HALLMARK_HYPOXIA	5230
M5891	HALLMARK_HYPOXIA	5163
M5891	HALLMARK_HYPOXIA	2632
M5891	HALLMARK_HYPOXIA	5211
M5891	HALLMARK_HYPOXIA	226
M5891	HALLMARK_HYPOXIA	2026
M5891	HALLMARK_HYPOXIA	5236
M5891	HALLMARK_HYPOXIA	10397
M5891	HALLMARK_HYPOXIA	3099
M5891	HALLMARK_HYPOXIA	230
M5891	HALLMARK_HYPOXIA	2821
M5891	HALLMARK_HYPOXIA	4601
M5891	HALLMARK_HYPOXIA	6513
M5891	HALLMARK_HYPOXIA	5033
M5891	HALLMARK_HYPOXIA	133
M5891	HALLMARK_HYPOXIA	8974
M5891	HALLMARK_HYPOXIA	2023
M5891	HALLMARK_HYPOXIA	5214
M5891	HALLMARK_HYPOXIA	205
M5891	HALLMARK_HYPOXIA	26355
M5891	HALLMARK_HYPOXIA	5209
M5891	HALLMARK_HYPOXIA	7422
M5891	HALLMARK_HYPOXIA	665
M5891	HALLMARK_HYPOXIA	7167
M5891	HALLMARK_HYPOXIA	30001
M5891	HALLMARK_HYPOXIA	55818
M5891	HALLMARK_HYPOXIA	901
M5891	HALLMARK_HYPOXIA	3939
M5891	HALLMARK_HYPOXIA	2997
M5891	HALLMARK_HYPOXIA	2597
M5891	HALLMARK_HYPOXIA	8553
M5891	HALLMARK_HYPOXIA	51129
M5891	HALLMARK_HYPOXIA	3725
M5891	HALLMARK_HYPOXIA	5054
M5891	HALLMARK_HYPOXIA	4015
M5891	HALLMARK_HYPOXIA	2645
M5891	HALLMARK_HYPOXIA	23764
M5891	HALLMARK_HYPOXIA	54541
M5891	HALLMARK_HYPOXIA	6515
M5891	HALLMARK_HYPOXIA	3486
M5891	HALLMARK_HYPOXIA	4783
M5891	HALLMARK_HYPOXIA	2353
M5891	HALLMARK_HYPOXIA	3516
M5891	HALLMARK_HYPOXIA	3098
M5891	HALLMARK_HYPOXIA	10370
M5891	HALLMARK_HYPOXIA	3669
M5891	HALLMARK_HYPOXIA	2584
M5891	HALLMARK_HYPOXIA	26118
M5891	HALLMARK_HYPOXIA	5837
M5891	HALLMARK_HYPOXIA	6781
M5891	HALLMARK_HYPOXIA	23036
M5891	HALLMARK_HYPOXIA	694
M5891	HALLMARK_HYPOXIA	123
M5891	HALLMARK_HYPOXIA	1466
M5891	HALLMARK_HYPOXIA	7436
M5891	HALLMARK_HYPOXIA	23210
M5891	HALLMARK_HYPOXIA	2131
M5891	HALLMARK_HYPOXIA	2152
M5891	HALLMARK_HYPOXIA	5165
M5891	HALLMARK_HYPOXIA	55139
M5891	HALLMARK_HYPOXIA	7360
M5891	HALLMARK_HYPOXIA	229
M5891	HALLMARK_HYPOXIA	8614
M5891	HALLMARK_HYPOXIA	54206
M5891	HALLMARK_HYPOXIA	2027
M5891	HALLMARK_HYPOXIA	10957
M5891	HALLMARK_HYPOXIA	3162
M5891	HALLMARK_HYPOXIA	5228
M5891	HALLMARK_HYPOXIA	26330
M5891	HALLMARK_HYPOXIA	9435
M5891	HALLMARK_HYPOXIA	55076
M5891	HALLMARK_HYPOXIA	63827
M5891	HALLMARK_HYPOXIA	467
M5891	HALLMARK_HYPOXIA	857
M5891	HALLMARK_HYPOXIA	272
M5891	HALLMARK_HYPOXIA	2719
M5891	HALLMARK_HYPOXIA	3340
M5891	HALLMARK_HYPOXIA	8660
M5891	HALLMARK_HYPOXIA	8819
M5891	HALLMARK_HYPOXIA	2548
M5891	HALLMARK_HYPOXIA	6385
M5891	HALLMARK_HYPOXIA	8987
M5891	HALLMARK_HYPOXIA	8870
M5891	HALLMARK_HYPOXIA	5313
M5891	HALLMARK_HYPOXIA	3484
M5891	HALLMARK_HYPOXIA	5329
M5891	HALLMARK_HYPOXIA	112464
M5891	HALLMARK_HYPOXIA	8839
M5891	HALLMARK_HYPOXIA	9215
M5891	HALLMARK_HYPOXIA	25819
M5891	HALLMARK_HYPOXIA	6275
M5891	HALLMARK_HYPOXIA	58528
M5891	HALLMARK_HYPOXIA	7538
M5891	HALLMARK_HYPOXIA	1956
M5891	HALLMARK_HYPOXIA	1907
M5891	HALLMARK_HYPOXIA	3423
M5891	HALLMARK_HYPOXIA	1026
M5891	HALLMARK_HYPOXIA	6095
M5891	HALLMARK_HYPOXIA	1843
M5891	HALLMARK_HYPOXIA	4282
M5891	HALLMARK_HYPOXIA	5507
M5891	HALLMARK_HYPOXIA	10570
M5891	HALLMARK_HYPOXIA	11015
M5891	HALLMARK_HYPOXIA	1837
M5891	HALLMARK_HYPOXIA	136
M5891	HALLMARK_HYPOXIA	9957
M5891	HALLMARK_HYPOXIA	284119
M5891	HALLMARK_HYPOXIA	2908
M5891	HALLMARK_HYPOXIA	1316
M5891	HALLMARK_HYPOXIA	2239
M5891	HALLMARK_HYPOXIA	3491
M5891	HALLMARK_HYPOXIA	7128
M5891	HALLMARK_HYPOXIA	771
M5891	HALLMARK_HYPOXIA	3073
M5891	HALLMARK_HYPOXIA	633
M5891	HALLMARK_HYPOXIA	23645
M5891	HALLMARK_HYPOXIA	55276
M5891	HALLMARK_HYPOXIA	5292
M5891	HALLMARK_HYPOXIA	25824
M5891	HALLMARK_HYPOXIA	55577
M5891	HALLMARK_HYPOXIA	1027
M5891	HALLMARK_HYPOXIA	680
M5891	HALLMARK_HYPOXIA	8277
M5891	HALLMARK_HYPOXIA	4493
M5891	HALLMARK_HYPOXIA	538
M5891	HALLMARK_HYPOXIA	4502
M5891	HALLMARK_HYPOXIA	9672
M5891	HALLMARK_HYPOXIA	25976
M5891	HALLMARK_HYPOXIA	5317
M5891	HALLMARK_HYPOXIA	302
M5891	HALLMARK_HYPOXIA	5224
M5891	HALLMARK_HYPOXIA	1649
M5891	HALLMARK_HYPOXIA	5578
M5891	HALLMARK_HYPOXIA	2542
M5891	HALLMARK_HYPOXIA	7852
M5891	HALLMARK_HYPOXIA	1944
M5891	HALLMARK_HYPOXIA	1356
M5891	HALLMARK_HYPOXIA	8609
M5891	HALLMARK_HYPOXIA	1490
M5891	HALLMARK_HYPOXIA	9469
M5891	HALLMARK_HYPOXIA	7163
M5891	HALLMARK_HYPOXIA	56925
M5891	HALLMARK_HYPOXIA	124872
M5891	HALLMARK_HYPOXIA	10891
M5891	HALLMARK_HYPOXIA	596
M5891	HALLMARK_HYPOXIA	2651
M5891	HALLMARK_HYPOXIA	3036
M5891	HALLMARK_HYPOXIA	54800
M5891	HALLMARK_HYPOXIA	949
M5891	HALLMARK_HYPOXIA	6576
M5891	HALLMARK_HYPOXIA	6383
M5891	HALLMARK_HYPOXIA	839
M5891	HALLMARK_HYPOXIA	7428
M5891	HALLMARK_HYPOXIA	2309
M5891	HALLMARK_HYPOXIA	5155
M5891	HALLMARK_HYPOXIA	126792
M5891	HALLMARK_HYPOXIA	6518
M5891	HALLMARK_HYPOXIA	8406
M5891	HALLMARK_HYPOXIA	1942
M5891	HALLMARK_HYPOXIA	2745
M5891	HALLMARK_HYPOXIA	57007
M5891	HALLMARK_HYPOXIA	5066
M5891	HALLMARK_HYPOXIA	7045
M5891	HALLMARK_HYPOXIA	1634
M5891	HALLMARK_HYPOXIA	6478
M5891	HALLMARK_HYPOXIA	51316
M5891	HALLMARK_HYPOXIA	2203
M5891	HALLMARK_HYPOXIA	8459
M5891	HALLMARK_HYPOXIA	5260
M5891	HALLMARK_HYPOXIA	4627
M5891	HALLMARK_HYPOXIA	1028
M5891	HALLMARK_HYPOXIA	9380
M5891	HALLMARK_HYPOXIA	5105
M5891	HALLMARK_HYPOXIA	3623
M5891	HALLMARK_HYPOXIA	3309
M5891	HALLMARK_HYPOXIA	8509
M5891	HALLMARK_HYPOXIA	23327
M5891	HALLMARK_HYPOXIA	7162
M5891	HALLMARK_HYPOXIA	7511
M5891	HALLMARK_HYPOXIA	3569
M5891	HALLMARK_HYPOXIA	6533
M5891	HALLMARK_HYPOXIA	4214
M5891	HALLMARK_HYPOXIA	3948
M5891	HALLMARK_HYPOXIA	9590
M5891	HALLMARK_HYPOXIA	26136
M5891	HALLMARK_HYPOXIA	3798
M5891	HALLMARK_HYPOXIA	3906
M5891	HALLMARK_HYPOXIA	1289
M5891	HALLMARK_HYPOXIA	2817
M5891	HALLMARK_HYPOXIA	3069
M5891	HALLMARK_HYPOXIA	10994
M5891	HALLMARK_HYPOXIA	1463
M5891	HALLMARK_HYPOXIA	7052
M5891	HALLMARK_HYPOXIA	2113
M5891	HALLMARK_HYPOXIA	3219
M5891	HALLMARK_HYPOXIA	8991
M5891	HALLMARK_HYPOXIA	2355
M5891	HALLMARK_HYPOXIA	6820
M5891	HALLMARK_HYPOXIA	7043
